,acc_mean,acc_std,loss_mean,loss_std
78,0.13480600503583745,0.008775325437714756,3.4073959271113075,0.03544458952810161
79,0.13537340698142844,0.008635409975284915,3.402783754666646,0.03530351854828367
80,0.13591876603662964,0.008503372877547023,3.3982120625178016,0.03519297725087765
81,0.13641092437009014,0.008308576477753758,3.393692978223165,0.03509754019567737
82,0.13691583611071106,0.008109891223294773,3.389245951970419,0.034857996366803215
83,0.13739265727500116,0.00791423956115659,3.384919832547506,0.03456710606451253
84,0.13786634154617786,0.007772698752881684,3.380692915916443,0.03432470883812655
85,0.1383820441116889,0.007649017118934973,3.3764832226435346,0.034080263652838144
86,0.13885422088205812,0.00748884064310828,3.372278108596802,0.03371422951075416
87,0.13932386654118695,0.007303480483291329,3.368052140871684,0.03325076880626596
88,0.13977554060518738,0.007148888354030102,3.363767442703247,0.03284114163896207
89,0.14026661204795038,0.006997303027299324,3.359486184120178,0.03236460896877378
90,0.14078034587204452,0.006861335747109767,3.3551368284225465,0.03186154636566774
91,0.14130654908716672,0.006701678805973923,3.3508741807937623,0.03132818266278174
92,0.14184892294307547,0.00652688969895914,3.346608214378357,0.03078508874357959
93,0.1423646024614572,0.00636806803108469,3.3424401505788164,0.030243462332631935
94,0.14289358792205648,0.006190245855004415,3.3383113590876263,0.02966838096708478
95,0.1434585498521725,0.005965227441386212,3.33413844426473,0.02898658902227709
96,0.14402324376006917,0.005771427176547974,3.330016857783,0.028400041500408094
97,0.14456136641403033,0.005587994193812254,3.325931332906087,0.027798710135111388
98,0.14506801016628737,0.005391787561927854,3.321910990079244,0.027196409076363143
99,0.14556801028549665,0.005197560716089004,3.3179272270202635,0.026636623826982418
100,0.14613899794717625,0.0054061907016975655,3.317302295366923,0.028588687327233943
101,0.1468430209656556,0.005580364300549129,3.3162478907903035,0.030568393646661418
102,0.14752850485344723,0.005755427482545367,3.3148180262247724,0.03238039298650843
103,0.14823557558159028,0.00593038211478658,3.312997949918111,0.034131881074277684
104,0.1489260517309109,0.0060696679018863876,3.3109289391835532,0.0360649572837354
105,0.14954542112847166,0.006314181598756173,3.3086810000737508,0.03804565414370824
106,0.1501543955256541,0.0064994280972143935,3.3062454525629676,0.039912919195776005
107,0.1507641515880823,0.0066239896732747305,3.3037080844243367,0.04177567812138726
108,0.1513261670619249,0.006768133501164627,3.301207548777262,0.04342289924322272
109,0.1520113521565993,0.006693394646640472,3.2984897168477376,0.04486379267197691
110,0.1527117067823807,0.006638073737467679,3.295701985359192,0.04646548007619553
111,0.1534940197318792,0.006620871533393951,3.2926022577285767,0.04802181838952095
112,0.15431918310622372,0.006519007582744048,3.2892363437016807,0.04925179259974771
113,0.1551446548849344,0.006416203288201201,3.2858236964543663,0.050027979375799815
114,0.1560007155189911,0.006265382064750618,3.282323999404907,0.05058084216400136
115,0.15683404880265392,0.006133803172281357,3.2788233931859336,0.05120285961117335
116,0.15765325782199696,0.0060536476324391,3.275369397799174,0.05165896564066702
117,0.1585002523412307,0.005943503010159557,3.2718952401479084,0.052100088832353196
118,0.159313744281729,0.0058599494012485445,3.26849707921346,0.05243802124414796
119,0.16009579556683698,0.0057565636530777665,3.2650331528981527,0.05260018106755533
120,0.16087315884729222,0.005725709150563322,3.2616138108571366,0.05275892043480022
121,0.16168233759701248,0.005679028560689492,3.25817814985911,0.05297087926182655
122,0.1625860936194658,0.005667599959559799,3.2546708472569783,0.05310057254018797
123,0.16355070548752937,0.005703048587493764,3.251045290629069,0.053230973794953985
124,0.16460626093049843,0.0057660118487408655,3.247254605293274,0.05336205117129142
125,0.16569392330944535,0.005828279953947535,3.2433940060933435,0.053531199934691145
126,0.16683316387236113,0.005880360735099006,3.2394202852249148,0.05370723211241066
127,0.16796485113600887,0.005903625770962332,3.2353519328435265,0.053910158083749826
128,0.16911946959793564,0.005883155582371576,3.231307144165039,0.054059931252774245
129,0.1703008422007163,0.005913768303902731,3.227268350919088,0.0540017453638808
130,0.1714933709055185,0.006025320648894395,3.2232452201843262,0.05383586232932987
131,0.17266378290951248,0.0061148025769398985,3.219320837656657,0.05357330581034095
132,0.17384510147074855,0.006161187764450567,3.2153309313456213,0.05335428539817479
133,0.1749965351571639,0.006234089554228217,3.211393047968546,0.05311427414449702
134,0.17617635962863762,0.0062938128399212985,3.207380704879761,0.052769523424209465
135,0.17732756244639553,0.006323010882407612,3.203348024686177,0.05243660211931725
136,0.1785060136268536,0.006335113694268697,3.1993422619501746,0.05228468363133464
137,0.17968588160971793,0.006336993873726473,3.19532878557841,0.052144669180049986
138,0.18081452238063012,0.006300586164604784,3.1913302930196124,0.05201712771951107
139,0.18191769706706204,0.006240263370305799,3.187386514345805,0.05193602091904487
140,0.18300803966820237,0.006166966833703439,3.1834924062093104,0.051796106084462855
141,0.1841013119369745,0.0061658700172679,3.1795477231343585,0.05162384949168239
142,0.18519740797579284,0.00615146773385699,3.17560095945994,0.05147977209241768
143,0.1863257265836,0.00616269990926566,3.1715937884648637,0.05137799628080425
144,0.18745616145431993,0.006160332560178399,3.1675447988510133,0.051173443047778
145,0.18855658876399192,0.00615155469432805,3.1634991868336995,0.05101242462800013
146,0.18964202302197608,0.006158244904141614,3.159509053230286,0.05088486425804509
147,0.1907508383939663,0.006134906911488631,3.1555316003163654,0.05073660154820416
148,0.19188904968400794,0.006111767300939173,3.1515404303868615,0.05062065685343868
149,0.1930423829704523,0.0060968855031517995,3.147511742909749,0.05040003336524876
150,0.19338188916444776,0.005982767232751694,3.1457413641611733,0.0485147439584245
151,0.1937267166872819,0.005928201029938886,3.1437702894210817,0.046643522892169456
152,0.19431811446944866,0.00573064659699142,3.141363585789998,0.0445737096316694
153,0.1949368012944857,0.005661733207086201,3.1389256842931115,0.042901448511577824
154,0.1957463251054287,0.005536534832266046,3.1360533666610717,0.041140458904370895
155,0.1966697485744953,0.0053609891363306916,3.133046542803447,0.03937586426980367
156,0.1976312869787216,0.005155706309668127,3.129803768793742,0.03766248120798365
157,0.19858657151460643,0.004944217387539778,3.1264491717020673,0.03606752225082485
158,0.19959432343641914,0.004800073627246359,3.1228850253423057,0.03462369902818148
159,0.20059432357549664,0.004848186152956241,3.119254452387492,0.033405119814671355
160,0.20156063566605245,0.004909014219161031,3.1157516622543335,0.032223049791158774
161,0.20247049957513805,0.004992655342238387,3.1123484802246093,0.030908162488372724
162,0.203344682653745,0.0051262300700250915,3.1090537277857457,0.029908499870221247
163,0.20416229267915084,0.005259667815198944,3.105798219045003,0.029274952072796
