batch,mean_loss,std_loss,mean_accuracy,std_accuracy
0,0.9946047306060791,0.14448557324727287,0.49375,0.052524175981161283
1,0.9892535209655762,0.15855755140827435,0.4859375,0.031926276158910236
2,0.9463259100914001,0.1414892369747579,0.484375,0.019136634559914628
3,0.9262470006942749,0.12520648541324864,0.490625,0.011912461470294454
4,0.9157424330711365,0.13805155457831192,0.4943749964237213,0.02590170032782351
5,0.9147653937339782,0.13106086331669062,0.49843748807907107,0.03281662829228904
6,0.9102234244346619,0.10783784071000524,0.49866071343421936,0.019625095172141747
7,0.8985841274261475,0.11259218753301767,0.503125,0.0257116128652563
8,0.8924929022789001,0.108224126042058,0.50625,0.02295346384889486
9,0.886175787448883,0.10967451901263371,0.5081249952316285,0.028111966692855653
10,0.8801090598106385,0.1016214922001793,0.5073863565921783,0.022824713599501167
11,0.8727124571800232,0.09659900393442714,0.51015625,0.02274737224485375
12,0.8723655223846436,0.091151270898222,0.5036057710647583,0.01945482469305066
13,0.8734107732772827,0.08862281175623082,0.5011160612106323,0.017272075711593317
14,0.8754161596298218,0.08752814318194552,0.4983333349227905,0.015033964129610939
15,0.8713120698928833,0.08162802112347659,0.4998046875,0.015691995045120737
16,0.8687360644340515,0.07917045318792884,0.4994485259056091,0.015807767747912208
17,0.8682027935981751,0.08017755626490052,0.5010416567325592,0.020296528970942675
18,0.8658237457275391,0.07485196421094448,0.5006579041481019,0.017555217031578276
19,0.8636470317840577,0.07410612751867339,0.4996874928474426,0.01917328194404493
20,0.8589292407035828,0.07258461533760721,0.5013392925262451,0.01949774217951063
21,0.8586020350456238,0.07071814054683306,0.5014204561710358,0.017904211798340012
22,0.8575283050537109,0.07066354432707243,0.501494562625885,0.01960951642560422
23,0.8571895480155944,0.07059188543194853,0.4994791686534882,0.021481410006194107
24,0.8549038290977478,0.06808162384405313,0.49949999451637267,0.01952260905619504
25,0.8518276214599609,0.06866535566419028,0.5,0.02065682134092015
26,0.8507603764533996,0.0680868434527529,0.5012731492519379,0.01985974856797314
27,0.8478087663650513,0.06640306533344013,0.5020089268684387,0.01919593201104141
28,0.8458733916282654,0.06344798092288043,0.5012930989265442,0.016076448799878816
29,0.843442153930664,0.06252344876511153,0.5020833253860474,0.01657280745713835
30,0.8414484620094299,0.06038811879464092,0.5013104856014252,0.015805251904269416
31,0.8403381824493408,0.06120892656847769,0.500390625,0.01771122030024825
32,0.8384002566337585,0.060048780940281966,0.5003787875175476,0.01719407800606742
33,0.8356242060661316,0.059177634694633906,0.5016544222831726,0.017252138851651735
34,0.8336726784706116,0.05818706317895811,0.5024999916553498,0.01724566614100373
35,0.8330467224121094,0.05675494770282651,0.5014756977558136,0.017530098116614195
36,0.8316592574119568,0.05690382445610674,0.5016891956329346,0.017473112649814382
37,0.8308674693107605,0.05612774072690224,0.5010690808296203,0.01676452717304991
38,0.8302106618881225,0.05582799413670883,0.5005609095096588,0.017853497473575404
39,0.8291176199913025,0.05607090368480848,0.5007031202316284,0.018535962871091362
40,0.8283455967903137,0.05561064507010761,0.5001524448394775,0.01914347400215637
41,0.8262710452079773,0.05469981424022114,0.5013392806053162,0.019195480434272997
42,0.8249218940734864,0.05290528340910194,0.5013808131217956,0.018692310632535826
43,0.8234414458274841,0.05294405212751187,0.5021306991577148,0.01835460778914127
44,0.8215631365776062,0.05264500747603905,0.5036111116409302,0.018126529833542498
45,0.8203446269035339,0.052561408741108206,0.5037364065647125,0.017490732024326834
46,0.8189435362815857,0.051872946011544435,0.5043218016624451,0.017489026228400772
47,0.8174515247344971,0.0512447585811604,0.5049479007720947,0.016686550182601352
48,0.8182420849800109,0.051144684067903026,0.5040178656578064,0.01766766371000513
49,0.8169320344924926,0.05000604058910979,0.5048125088214874,0.017215323023211115
50,0.8152913451194763,0.050476269366189666,0.5058210730552674,0.018100632058609078
51,0.8141111373901367,0.04966917942744777,0.506129801273346,0.01803960725267519
52,0.8129236578941346,0.04882100824283008,0.5067216873168945,0.01856655983365061
53,0.8120494723320008,0.048495745112636775,0.5061921238899231,0.01920061450023504
54,0.8107342481613159,0.0476724472962398,0.5066477298736572,0.018363567452241984
55,0.8106188297271728,0.04563602468602558,0.5059151709079742,0.017135644592045318
56,0.8091619372367859,0.04553043223929751,0.5066885948181152,0.016876480679758724
57,0.8085333108901978,0.045300308034181815,0.5063577592372894,0.01652303304599755
58,0.8078269004821778,0.04527440948387601,0.5061970353126526,0.016456410984565066
59,0.8079747319221496,0.04508171670334566,0.5055208325386047,0.01643659271684084
60,0.8067259907722473,0.04455655762062027,0.5056352317333221,0.015477329463388307
61,0.8061296820640564,0.044634880769874034,0.5056955635547637,0.015456009085482555
62,0.8054862737655639,0.04458920206911051,0.5059523701667785,0.01571820468180106
63,0.8048406839370728,0.04341336658556409,0.505810546875,0.015023478570922627
64,0.8037574410438537,0.043179042690219806,0.5065384626388549,0.015102579188529763
65,0.8031082272529602,0.04276763879295356,0.5062973499298096,0.015456943397238751
66,0.8021194696426391,0.04255935270252125,0.5069496273994446,0.01525905613894835
67,0.801266896724701,0.04251390141988184,0.5070312559604645,0.01469743552943171
68,0.8003157854080201,0.04230924391144486,0.5074275255203247,0.014358915092257068
69,0.7999868035316468,0.04209059400685388,0.5074106991291046,0.014413649869747816
70,0.799188232421875,0.04167876310747263,0.507658451795578,0.014988558713761556
71,0.7980081796646118,0.04116948544068155,0.5080729126930237,0.014707709926394936
