train_batch,acc,loss,std_acc
0,0.03125,3.9270522594451904,
1,0.078125,3.9194412231445312,
2,0.0625,3.8765652179718018,
3,0.09375,3.804600715637207,
4,0.10000000149011612,3.709265947341919,
5,0.0989583358168602,3.6795804500579834,
6,0.09375,3.67256236076355,
7,0.09375,3.620290756225586,
8,0.1006944477558136,3.5886502265930176,
9,0.109375,3.5456509590148926,
10,0.10795454680919647,3.5236012935638428,
11,0.1119791641831398,3.5050032138824463,
12,0.11298076808452606,3.5049073696136475,
13,0.1138392835855484,3.5035479068756104,
14,0.11874999850988388,3.4729411602020264,
15,0.12109375,3.458571672439575,
16,0.1305147111415863,3.4166219234466553,
17,0.1371527761220932,3.3875162601470947,
18,0.13651315867900848,3.3803951740264893,
19,0.14531250298023224,3.358368396759033,
20,0.153273805975914,3.3371188640594482,
21,0.15482954680919647,3.326784610748291,
22,0.16304348409175873,3.300142288208008,
23,0.1653645783662796,3.286639451980591,
24,0.16750000417232513,3.276113271713257,
25,0.171875,3.252455711364746,
26,0.17592592537403107,3.232701539993286,
27,0.1819196492433548,3.206882953643799,
28,0.1875,3.1849238872528076,
29,0.1927083283662796,3.1637444496154785,
30,0.19354838132858276,3.1481800079345703,
31,0.19921875,3.1312530040740967,
32,0.20170454680919647,3.117551803588867,
33,0.20680147409439087,3.1036264896392822,
34,0.2098214328289032,3.0870327949523926,
35,0.2083333283662796,3.079336404800415,
36,0.21114864945411682,3.0652382373809814,
37,0.21381579339504242,3.0517241954803467,
38,0.21714743971824646,3.038530111312866,
39,0.22421875596046448,3.022916793823242,
40,0.22560974955558777,3.009929895401001,
41,0.224702388048172,2.99931263923645,
42,0.22456395626068115,2.9930214881896973,
43,0.2286931872367859,2.975109100341797,
44,0.22986111044883728,2.968851089477539,
45,0.23165760934352875,2.9606375694274902,
46,0.23138298094272614,2.954399347305298,
47,0.2356770783662796,2.9399640560150146,
48,0.23724490404129028,2.9306111335754395,
49,0.24062499403953552,2.9143004417419434,
50,0.06712962687015533,3.7431347370147705,
51,0.09913793206214905,3.6388771533966064,
52,0.11491935700178146,3.562404155731201,
53,0.125,3.4961137771606445,
54,0.1428571492433548,3.439915180206299,
55,0.1503378450870514,3.3913028240203857,
56,0.1538461595773697,3.3561835289001465,
57,0.16310974955558777,3.32248854637146,
58,0.17877906560897827,3.264633893966675,
59,0.18333333730697632,3.2291476726531982,
60,0.19015957415103912,3.1880710124969482,
61,0.20025509595870972,3.1510844230651855,
62,0.2083333283662796,3.118567943572998,
63,0.21108490228652954,3.0950024127960205,
64,0.22499999403953552,3.058091878890991,
65,0.22478070855140686,3.0392212867736816,
66,0.23411017656326294,3.0063412189483643,
67,0.24077868461608887,2.981750726699829,
68,0.244047611951828,2.960181474685669,
69,0.2471153885126114,2.940114974975586,
70,0.2555970251560211,2.913912534713745,
71,0.26358696818351746,2.887049674987793,
72,0.27112674713134766,2.861499309539795,
73,0.2765410840511322,2.8408615589141846,
74,0.2800000011920929,2.8277599811553955,
75,0.2849026024341583,2.81361722946167,
76,0.2863923907279968,2.804025888442993,
77,0.29398149251937866,2.784780979156494,
78,0.29518070816993713,2.768218994140625,
79,0.30000001192092896,2.7497293949127197,
80,0.30531609058380127,2.732638120651245,
81,0.31039324402809143,2.7165331840515137,
82,0.31593406200408936,2.697667121887207,
83,0.3198924660682678,2.6827311515808105,
84,0.3230263292789459,2.6668906211853027,
85,0.3286082446575165,2.6511614322662354,
86,0.3308080732822418,2.6350343227386475,
87,0.33601483702659607,2.6196303367614746,
88,0.3349514603614807,2.6122500896453857,
89,0.33690476417541504,2.60127329826355,
90,0.3387850522994995,2.5892419815063477,
91,0.3417431116104126,2.5761706829071045,
92,0.3429054021835327,2.569648265838623,
93,0.34568583965301514,2.5589001178741455,
94,0.3489130437374115,2.5467488765716553,
95,0.3514957129955292,2.537799835205078,
96,0.3550420105457306,2.5254743099212646,
97,0.3579545319080353,2.5126564502716064,
98,0.36128050088882446,2.502239227294922,
99,0.36500000953674316,2.4869513511657715,
100,0.11342592537403107,3.5515170097351074,
101,0.12931033968925476,3.450404405593872,
102,0.14919355511665344,3.3838696479797363,
103,0.17424242198467255,3.310128688812256,
104,0.1875,3.2479641437530518,
105,0.20945945382118225,3.184084415435791,
106,0.22435897588729858,3.116184711456299,
107,0.2393292635679245,3.058408260345459,
108,0.24709302186965942,3.0140225887298584,
109,0.2638888955116272,2.954261302947998,
110,0.27260637283325195,2.912949800491333,
111,0.2767857015132904,2.884986162185669,
112,0.29411765933036804,2.8429486751556396,
113,0.2995283007621765,2.815495014190674,
114,0.30909091234207153,2.777547836303711,
115,0.31030702590942383,2.7476131916046143,
116,0.3199152648448944,2.7211570739746094,
117,0.3258196711540222,2.6885135173797607,
118,0.3333333432674408,2.659956932067871,
119,0.3403846025466919,2.637225389480591,
120,0.3488805890083313,2.609882354736328,
121,0.3541666567325592,2.5889358520507812,
122,0.3582746386528015,2.5653276443481445,
123,0.36301368474960327,2.5428667068481445,
124,0.36916667222976685,2.5231568813323975,
125,0.375,2.5053060054779053,
126,0.37974682450294495,2.4855778217315674,
127,0.3850308656692505,2.4711525440216064,
128,0.3885542154312134,2.4598324298858643,
129,0.3911764621734619,2.446272134780884,
130,0.3965517282485962,2.4326791763305664,
131,0.403792142868042,2.4126217365264893,
132,0.40934064984321594,2.3948984146118164,
133,0.4139784872531891,2.380965232849121,
134,0.41644737124443054,2.3639440536499023,
135,0.41817009449005127,2.3529818058013916,
136,0.42171716690063477,2.3358981609344482,
137,0.42264851927757263,2.327946662902832,
138,0.42718446254730225,2.312060594558716,
139,0.43095237016677856,2.3004822731018066,
140,0.4328271150588989,2.28995943069458,
141,0.43520641326904297,2.2801122665405273,
142,0.4375,2.2666282653808594,
143,0.4386062026023865,2.2593743801116943,
144,0.43967390060424805,2.2497363090515137,
145,0.4444444477558136,2.2346367835998535,
146,0.44905462861061096,2.223478317260742,
147,0.4514462947845459,2.211670160293579,
148,0.45579269528388977,2.19758939743042,
149,0.4580000042915344,2.187945604324341,
150,0.1527777761220932,3.376417875289917,
151,0.1767241358757019,3.2505147457122803,
152,0.19959677755832672,3.165069580078125,
153,0.21780303120613098,3.085137367248535,
154,0.23571428656578064,3.003203868865967,
155,0.2432432472705841,2.939852237701416,
156,0.2628205120563507,2.8701364994049072,
157,0.2728658616542816,2.8155746459960938,
158,0.2877906858921051,2.7623202800750732,
159,0.2958333194255829,2.722747564315796,
160,0.3058510720729828,2.674323320388794,
161,0.3163265287876129,2.6324241161346436,
162,0.3284313678741455,2.595310688018799,
163,0.3349056541919708,2.5637378692626953,
164,0.3397727310657501,2.531076669692993,
165,0.3486842215061188,2.4966423511505127,
166,0.3580508530139923,2.4663336277008057,
167,0.35963115096092224,2.4470582008361816,
168,0.3650793731212616,2.4186081886291504,
169,0.3692307770252228,2.399590253829956,
170,0.37406715750694275,2.380441665649414,
171,0.3813405930995941,2.353891134262085,
172,0.3838028311729431,2.3391494750976562,
173,0.38613012433052063,2.32240891456604,
174,0.3958333432674408,2.2971510887145996,
175,0.4017857015132904,2.2820663452148438,
176,0.4026898741722107,2.276448965072632,
177,0.4058642089366913,2.266479253768921,
178,0.41265061497688293,2.247256278991699,
179,0.4176470637321472,2.2278664112091064,
180,0.42097702622413635,2.212739944458008,
181,0.42345505952835083,2.1996195316314697,
182,0.42788460850715637,2.1799490451812744,
183,0.4307795763015747,2.1665477752685547,
184,0.4309210479259491,2.159018039703369,
185,0.43234536051750183,2.1520726680755615,
186,0.4337121248245239,2.146156072616577,
187,0.4368811845779419,2.134108066558838,
188,0.43871358036994934,2.1210687160491943,
189,0.4422619044780731,2.111294984817505,
190,0.4462616741657257,2.097555637359619,
191,0.45068806409835815,2.0801994800567627,
192,0.4538288414478302,2.0670347213745117,
193,0.45630529522895813,2.0570082664489746,
194,0.457065224647522,2.049560785293579,
195,0.4615384638309479,2.0363290309906006,
196,0.4606092572212219,2.0316474437713623,
197,0.46177685260772705,2.0233983993530273,
198,0.461382120847702,2.0187947750091553,
199,0.46299999952316284,2.0127151012420654,
200,0.1736111044883728,3.4557909965515137,
201,0.2068965584039688,3.3287410736083984,
202,0.22580644488334656,3.215275526046753,
203,0.23863635957241058,3.1324408054351807,
204,0.2589285671710968,3.033205270767212,
205,0.2702702581882477,2.9785804748535156,
206,0.2868589758872986,2.907623529434204,
207,0.2926829159259796,2.85642409324646,
208,0.2979651093482971,2.8311896324157715,
209,0.30694442987442017,2.7794580459594727,
210,0.31781914830207825,2.7450966835021973,
211,0.3303571343421936,2.7026405334472656,
212,0.33578431606292725,2.676938772201538,
213,0.3349056541919708,2.6526012420654297,
214,0.3431818187236786,2.6219427585601807,
215,0.34539473056793213,2.603604793548584,
216,0.3538135588169098,2.568593740463257,
217,0.3616803288459778,2.53116774559021,
218,0.3710317313671112,2.503370761871338,
219,0.3769230842590332,2.4749608039855957,
