batch,mean_loss,std_loss,mean_accuracy,std_accuracy
0,7.509841537475586,0.00837855321367136,0.08125,0.05249834653480897
1,7.509707975387573,0.006657754085206092,0.08671875,0.04562125412705135
2,7.509604501724243,0.008022513665883512,0.08802083414047956,0.04442884492736908
3,7.507656860351562,0.006974626605488334,0.091796875,0.04114459715970042
4,7.506912469863892,0.007386564620903828,0.09406249895691872,0.039099286911713084
5,7.505547332763672,0.007225762663318289,0.09739583395421506,0.03485651157333312
6,7.504425191879273,0.0065450422881131575,0.09709821455180645,0.030592030985209615
7,7.50331220626831,0.0068421293391066375,0.098046875,0.02966064666360921
8,7.50252742767334,0.006800646350173661,0.1006944440305233,0.02985797183787402
9,7.502131032943725,0.0068349157607453396,0.09781249985098839,0.03012920541414344
10,7.501329612731934,0.006662140818630102,0.09872159212827683,0.028418955202681145
11,7.500743722915649,0.006724948645672579,0.099609375,0.02941318766281839
12,7.500164747238159,0.006477905458164344,0.1,0.02875586765239862
13,7.49958643913269,0.006308607944168164,0.10100446492433549,0.027176843363315554
14,7.498856878280639,0.006235475481112014,0.1010416679084301,0.026855345003247603
15,7.4981104850769045,0.0062166123442198296,0.1025390625,0.02686681026297311
16,7.497572946548462,0.006407529126376162,0.10257353037595748,0.026230931731196547
17,7.496966171264648,0.006399433716887638,0.10251736044883727,0.025256455481529317
18,7.496364498138428,0.0062095421082514,0.10328947454690933,0.02452196757098473
19,7.495758295059204,0.00617598583375917,0.10328124985098838,0.023037088402106203
20,7.494944047927857,0.006247250559357621,0.10498512014746667,0.024248421183786915
21,7.494130802154541,0.006312106802861282,0.10667613670229911,0.02474564237271967
22,7.493419408798218,0.006215256960506917,0.10699728205800056,0.02481712453744725
23,7.492579317092895,0.006159856558667102,0.10807291716337204,0.02413834548394971
24,7.491882801055908,0.006108946263462928,0.10850000157952308,0.023722938498055773
25,7.491184139251709,0.00600305106741072,0.1099158652126789,0.023161849267308857
26,7.49067234992981,0.005996697589410285,0.1098379634320736,0.022942762974800964
27,7.489967346191406,0.005963766895539236,0.11043526828289033,0.023043639151568963
28,7.48939700126648,0.0060027898817660505,0.11088362038135528,0.02301486799124184
29,7.488656902313233,0.005984457008184045,0.11187499910593032,0.02319745807013497
30,7.488012886047363,0.00587480027890401,0.11255040317773819,0.02313679489424097
31,7.487322473526001,0.005886805169899539,0.113623046875,0.022476323704251563
32,7.486578464508057,0.0057771298386949,0.1153409093618393,0.023717552423125524
33,7.48583574295044,0.005843138502311757,0.11663602963089943,0.024016365043088433
34,7.485124111175537,0.005867729914145001,0.11790178567171097,0.02419191840705328
35,7.484479999542236,0.005818389725520309,0.11879340335726737,0.023841302439389773
36,7.483822584152222,0.005826439981918667,0.11887668967247009,0.02373834160238119
37,7.483122777938843,0.00570223657819086,0.11969572454690933,0.023650500467997593
38,7.482473993301392,0.005695792339340664,0.12011218070983887,0.02315013491583662
39,7.4818603515625,0.005683644198890588,0.1203906238079071,0.022301611704840994
40,7.481193590164184,0.0056448987074506655,0.12115091532468795,0.02187576160986465
41,7.48045163154602,0.005562880568256606,0.12217262014746666,0.022262239224597403
