method,acc_mean,acc_std
anti,0.7886111206478542,0.0045896425556427025
challenger,0.7875000105963812,0.0030046314631395205
curriculum,0.7833333346578809,0.0016666551431119157
vanilla,0.7802777687708536,0.0019244990619516828
