method,acc_mean,acc_std
anti,0.784166673819224,0.0019094014669877723
challenger,0.7666666507720947,0.002602080017793417
curriculum,0.7775000035762787,0.0037499964237213135
vanilla,0.7679166495800018,0.006166097697440694
