,acc_mean,acc_std,loss_mean,loss_std
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,0.1438322369754314,0.007315759980999418,3.280702300071716,0.016683354566586206
50,0.1451979777216911,0.0073484964919090425,3.2776781034469606,0.01526711930418374
51,0.14625940009951588,0.007279919354696966,3.2748749542236326,0.015326003509175281
52,0.14694824416190383,0.007218142558808563,3.2720669984817503,0.015195274100338123
53,0.1476892479136586,0.007295147590583119,3.2685857224464416,0.014707378810228126
54,0.1485821050032973,0.007269893725790995,3.2647677659988403,0.014565654131551455
55,0.1497462379187345,0.007096700366091469,3.2605371189117434,0.01468924217837692
56,0.1512846995145082,0.006763220592213266,3.2554902744293215,0.014634727758638994
57,0.152618541046977,0.00645062774278585,3.250982332229614,0.014467273271883392
58,0.1540187348425388,0.006176555321656329,3.246454303264618,0.01420753067388046
59,0.15551179036498067,0.006048883245210158,3.2415977454185487,0.013898186292802015
60,0.15705797016620632,0.005864242116568781,3.236470286846161,0.013743686061404718
61,0.1585349046438932,0.005878522627882608,3.2312897562980654,0.013381229907706793
62,0.15990274019539352,0.005882522153072049,3.2261249899864195,0.012921869719912618
63,0.16137721784412856,0.005928384035544937,3.2206870555877685,0.012297870454843369
64,0.1629113087803125,0.005981952680002284,3.214981212615967,0.011748794799434959
65,0.16457317836582658,0.006250412932151215,3.2089962911605836,0.011532315098491484
66,0.16630766242742534,0.006479975963176563,3.2028234601020813,0.011383388366341275
67,0.16812517158687112,0.006787483689964019,3.1965544271469115,0.011237408541838943
68,0.17000695943832395,0.007008269850521216,3.190208933353424,0.01118570953158154
69,0.17195768058300015,0.007292132246989968,3.1837583637237548,0.01124885225414663
70,0.17393573671579357,0.007566657852108103,3.177271132469177,0.011427379560943012
71,0.1759173737466335,0.007835665802553434,3.1706654834747314,0.011521950345505697
72,0.17797761559486386,0.008005622758439369,3.163891680240631,0.011469145401943368
73,0.18004418238997455,0.008197837043555426,3.157114701271057,0.011539126029210856
74,0.18224001586437222,0.008463002044353534,3.1502306413650514,0.011569208763803992
75,0.18443844243884083,0.008694347992438014,3.1434636878967286,0.01153364356715656
76,0.186669455319643,0.008877506394948775,3.136607518196106,0.011330718292694181
77,0.1889053182303905,0.00911620970764356,3.1297962641716004,0.011175317804612695
