,acc_mean,acc_std,loss_mean,loss_std
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,0.14799533091485498,0.010848796370056512,3.3232393980026247,0.013689228961380757
50,0.14822681237012145,0.010063122162884398,3.318795592784882,0.015554483260826773
51,0.14858780376613137,0.00955260323474717,3.3142232489585877,0.017305998389007343
52,0.14901791132986542,0.009105909439335974,3.310070130825043,0.018981817777262346
53,0.14970209687948224,0.008660619660815798,3.3058970260620115,0.020221295900505885
54,0.1503895968943834,0.008572231292094055,3.301228973865509,0.022122041218145937
55,0.15120603829622264,0.008249733195696732,3.296616084575653,0.02324280347025187
56,0.1524033826589584,0.008210880966333933,3.29151202917099,0.024184633805815717
57,0.15377247571945188,0.008433199270201624,3.2858361268043517,0.02566824333437375
58,0.1551532895863056,0.008704987648243217,3.2798945999145506,0.027288358075888874
59,0.15666717842221256,0.008960331590401315,3.2733623957633973,0.028588035385797482
60,0.15811966873705383,0.00914582735176337,3.2667263770103454,0.029668262484879578
61,0.1597820837795734,0.00936078544610848,3.2596749329566954,0.030779556868936044
62,0.1615910959243774,0.009503433351501785,3.252506904602051,0.031544643552332476
63,0.1633864969015121,0.009792303636510602,3.245306088924408,0.03253093038370561
64,0.16524823933839794,0.010003899992851364,3.2379233169555666,0.03332679438175863
65,0.1671294070780277,0.010265576077529738,3.230660450458527,0.03443295359379252
66,0.16903120175004002,0.010506154503514773,3.223401894569397,0.03549115980746464
67,0.17094462394714352,0.010742420253225929,3.2162703013420106,0.03630944592892547
68,0.17292013555765148,0.010869058467478125,3.208929014205933,0.037045832294359926
69,0.1748203758895397,0.010891155427949661,3.2015201354026797,0.03772965985382736
70,0.17678421735763547,0.010896809216943153,3.193921799659729,0.03835659928304873
71,0.1787934400141239,0.010889821901662775,3.1861823081970213,0.03895640625707273
72,0.18078038886189457,0.010892257568038221,3.1783893847465516,0.03949675920071331
73,0.18285266324877736,0.010951284229377727,3.170392735004425,0.0400452751459735
74,0.18501516342163082,0.01092182168566043,3.1622923541069032,0.04046517914006571
75,0.1872947587072849,0.010935508242511613,3.153968162536621,0.04101528992207354
76,0.18951419755816457,0.01095767790629683,3.145722336769104,0.041604732143111736
77,0.19179125890135762,0.01113577995139174,3.137573754787445,0.042373035473986534
78,0.1940554882586002,0.011339583144708594,3.1294746589660645,0.04298442440198133
