,acc_mean,acc_std,loss_mean,loss_std
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,0.11514735810458658,0.011355794824621193,3.558706195354462,0.03831641816355237
50,0.11499689515680071,0.011044798761233172,3.5573552536964415,0.03867232638286564
51,0.11475982617586848,0.01113623497930498,3.5556123185157777,0.03955862403083153
52,0.11488751437515017,0.01125028445674258,3.5523645234107972,0.039907013252370456
53,0.11531365070492025,0.011357421851024395,3.5483449721336364,0.04041723288519971
54,0.11576900787651535,0.011168018286551968,3.5441049337387085,0.04053829549286239
55,0.11629687950015065,0.011138157349749123,3.5399008226394653,0.04086232720770991
56,0.11680283188819882,0.011021601293863457,3.535917785167694,0.040621075275085655
57,0.11736018709838386,0.010721134830322474,3.531749804019928,0.03995407610929166
58,0.11777362372726198,0.010328297700394635,3.527743639945984,0.03966466887343281
59,0.11821806814521547,0.01018098371740269,3.5236774945259093,0.03949263218130711
60,0.11880196567624804,0.010071566705452045,3.519188539981842,0.03976598652550512
61,0.11945885349065062,0.010104637124768995,3.514468560218811,0.04002065801469524
62,0.12006971325725313,0.010228620825134854,3.5097393870353697,0.04019840644773114
63,0.12068292070180174,0.010448996053919071,3.5050583910942077,0.040467128010340844
64,0.1213306480273604,0.010615059167838205,3.500134162902832,0.04089317870081989
65,0.12192617986351248,0.010770126590449337,3.4952663660049437,0.041593935806397184
66,0.12251846540719268,0.010953864933595608,3.4905301690101624,0.042175100386387845
67,0.12314318072050806,0.011054086662239513,3.4858466839790343,0.04290612230094384
68,0.12375956561416385,0.010947385593206911,3.4810324192047117,0.0441593638990371
69,0.1243953828886151,0.010874295055354921,3.476372683048248,0.045405356239186484
70,0.1251201075688004,0.010782263196946536,3.471630437374115,0.0467455923043541
71,0.12587521281093353,0.010661733641550384,3.4668815112113953,0.04806366249895287
72,0.12670631360262627,0.010488799853754123,3.4621002173423765,0.04929573289210214
73,0.12746705133467906,0.010408836640049707,3.4574793338775636,0.05055068733811887
74,0.12826288472861047,0.010332233373108578,3.4528365993499754,0.05188038331941089
75,0.1291610491648316,0.01034503684811634,3.448014557361603,0.053249923245411154
76,0.12999306391924617,0.010376737494856689,3.443228507041931,0.054499489638314275
77,0.13081275623291727,0.01035471829532066,3.4384144353866577,0.05572446587392218
