batch,mean_loss,std_loss,mean_accuracy,std_accuracy
0,7.503494358062744,0.011061961358900665,0.103125,0.04896941363976316
1,7.351287746429444,0.01623311284292928,0.1328125,0.04215211993812147
2,7.204953145980835,0.01549180120315111,0.14895833283662796,0.03117274415790272
3,7.056952095031738,0.016282362967366546,0.161328125,0.03184385818730941
4,6.912125158309936,0.020114752093456856,0.1715624988079071,0.045200412398028925
5,6.77278151512146,0.021206535078182452,0.1825520820915699,0.05118510969582588
6,6.6288214206695555,0.03007701228574483,0.20424107015132903,0.05049940443147168
7,6.485879373550415,0.037558998693069716,0.2234375,0.058580727719585814
8,6.33896656036377,0.0474683028580215,0.24861110895872116,0.05938864527781149
9,6.19560284614563,0.04935951180361974,0.2684374988079071,0.060199860385129825
10,6.04632716178894,0.06026018544071777,0.2887784093618393,0.05860529813017994
11,5.897313261032105,0.06632968391285068,0.3071614563465118,0.05851637809544474
12,5.757021284103393,0.06095200749082969,0.3239182695746422,0.05855735779071378
13,5.617544460296631,0.06379637821716427,0.3428571432828903,0.058113878553392125
14,5.48134765625,0.06794253684182207,0.36177083253860476,0.05795397685660557
15,5.3538226127624515,0.06018760655275132,0.3796875,0.05714499454436665
16,5.2338183403015135,0.048220167738027155,0.3960477977991104,0.052739614837969594
17,5.118929767608643,0.04451788974119933,0.4109375,0.05148869769273718
18,5.010311555862427,0.04260990549108674,0.4254934251308441,0.04944282531716621
19,4.905222034454345,0.04102110739229628,0.44054687917232516,0.04630358820726317
20,4.806216478347778,0.03954048163404287,0.4534226208925247,0.04538107799482543
21,4.71158504486084,0.037838400930913445,0.465625,0.045033611110522564
22,4.619935178756714,0.037420252453623036,0.4783288031816483,0.043297966055741495
23,4.532675409317017,0.03731256034114066,0.4903645873069763,0.043529332631514685
24,4.450003957748413,0.039896099470322584,0.5021250069141387,0.0425522527539595
25,4.372624206542969,0.0410774011552581,0.5124399125576019,0.04241410913025098
26,4.298553085327148,0.04244331586384161,0.5222800940275192,0.04044698013170193
27,4.226657867431641,0.043827151064280374,0.5327567011117935,0.03903065368395964
28,4.15622239112854,0.04416121994544338,0.5429418116807938,0.038017961675343506
29,4.088934755325317,0.045900518741376635,0.5527083367109299,0.03665275894125416
30,4.023459887504577,0.04876576726777946,0.5618447571992874,0.035508786976863424
31,3.9625182151794434,0.04696927127928317,0.569921875,0.035489086831765077
32,3.906494617462158,0.04754523848590415,0.5773200750350952,0.033953287488135725
33,3.84968364238739,0.050721311012677565,0.5845588266849517,0.03280618961153058
34,3.7966591119766235,0.05142928439639333,0.591607141494751,0.03290998838308129
35,3.7452821254730226,0.052832181255134884,0.5981770813465118,0.03229080639236499
36,3.6955047130584715,0.055366464707046106,0.6051942527294158,0.03149219200395791
37,3.646708583831787,0.05758885044352471,0.6118009865283967,0.03091178967436477
38,3.5996254205703737,0.05739978057577527,0.6181089758872986,0.03084027714040672
39,3.553534412384033,0.05855673882578515,0.6241796910762787,0.030330695195326027
40,3.5093474864959715,0.05755195837975139,0.6302591443061829,0.030019374904532083
41,3.465867114067078,0.05968723603340647,0.6365699410438538,0.028905531747418098
42,3.4268073081970214,0.061029256537943756,0.6418967962265014,0.028315191940183452
43,3.387567925453186,0.061723413643123275,0.6475142061710357,0.02787293880894023
44,3.3492753744125365,0.0613885807909517,0.6529513955116272,0.027712236348589287
45,3.3149922370910643,0.06087287611123245,0.657302987575531,0.027185430384518584
46,3.2788126468658447,0.061017661613373624,0.6622340381145477,0.026757317349430303
47,3.245071220397949,0.06127668474982727,0.6667317688465119,0.02644757324371198
48,3.2122956275939942,0.06428136604597698,0.6710778057575226,0.025767661306881736
49,3.178823137283325,0.06519864424905862,0.6757187485694885,0.025339723918842556
50,3.1474915027618406,0.066810186310482,0.6799326121807099,0.024986870918944637
51,3.1167905569076537,0.06762111499366644,0.6842247545719147,0.024314178796619196
52,3.0869877338409424,0.06726709026084697,0.6879716992378235,0.024251987658135726
53,3.057954216003418,0.06882310062163176,0.6915219902992249,0.023475946023293122
54,3.0283010482788084,0.06887192882764787,0.6956534028053284,0.0231955576217019
55,2.999713730812073,0.07001381956011701,0.6995256662368774,0.02279934081047147
56,2.9734243869781496,0.07077210893896196,0.7028782904148102,0.02242914995030721
57,2.947373390197754,0.07098565143804542,0.7064116358757019,0.022268959715104893
58,2.921269106864929,0.07147287887001226,0.7099841117858887,0.021913445868450038
59,2.895978569984436,0.0713747627661309,0.7132031321525574,0.021677087307133948
60,2.873313307762146,0.07015673740597907,0.7160092353820801,0.021318651898839844
61,2.8490992307662966,0.07117565714397552,0.7193296313285827,0.021106950686271397
62,2.8258073806762694,0.0711777435889117,0.7222718238830567,0.02103859853530407
63,2.8040658950805666,0.07139833740894859,0.7248291015625,0.020812485117965844
64,2.7817223072052,0.0715948691174961,0.7277884602546691,0.020758056314622544
65,2.7601551055908202,0.07213467244222271,0.7304924190044403,0.020214710123842787
66,2.738425779342651,0.07210743778459618,0.733302241563797,0.020007773085226478
67,2.717973160743713,0.07220850501342516,0.7358685731887817,0.019871528565646245
68,2.697318506240845,0.07198571484285145,0.7383378684520722,0.019707087990440693
69,2.677957057952881,0.07199100210570857,0.7407366156578064,0.019331285183546383
70,2.658120584487915,0.07212640589377613,0.7433098614215851,0.019016313271095393
71,2.639547109603882,0.07189955892157797,0.7456597208976745,0.019075295076579377
72,2.620332884788513,0.07178976488841428,0.7483090698719025,0.018799223293547926
73,2.602106475830078,0.07161864282729165,0.7506334483623505,0.018720792241294443
74,2.5841826438903808,0.0721452832558742,0.7528124988079071,0.018379104213716208
75,2.566799831390381,0.07206990626775786,0.7547902882099151,0.018198489333353423
76,2.549964356422424,0.07204563720033672,0.7567573010921478,0.0180305309226686
77,2.533145308494568,0.07204402731283784,0.7588141024112701,0.017807380449285645
78,2.516387867927551,0.07270279444495024,0.7610363841056824,0.017532403717308624
79,2.4998967170715334,0.07285735882932445,0.7631835877895355,0.017310416096792392
80,2.483534049987793,0.07282208058152648,0.7652777791023254,0.017102905761160938
81,2.4678310632705687,0.07287968208191462,0.7672065496444702,0.0167735965334235
82,2.452335071563721,0.07308921709017403,0.7691265106201172,0.016585786780088565
83,2.436859154701233,0.07332569867016618,0.7710007429122925,0.016421439570987857
84,2.4222215890884398,0.07381946945864741,0.772757351398468,0.016388782893619606
85,2.4074497699737547,0.07420854166535633,0.7745639503002166,0.016061789813286546
86,2.3935395956039427,0.07411804678940251,0.7760237038135529,0.016034107188596745
87,2.3793949842453004,0.07366106359067441,0.7777521252632141,0.015959277389765106
88,2.3650714635848997,0.07384830390901997,0.7796699523925781,0.015756934703556994
89,2.3516276121139525,0.07408147753113663,0.7811805546283722,0.015647318663861074
90,2.3377992630004885,0.07418260639240612,0.7829326927661896,0.015330246705851034
91,2.324556303024292,0.07357281986014488,0.7845618247985839,0.015298373737031478
92,2.3118064403533936,0.07388523580030262,0.7860887110233307,0.015258855542629872
93,2.2983996629714967,0.07381980900817824,0.7877992033958435,0.01511530628711136
94,2.2860586166381838,0.07419017894325308,0.7892434179782868,0.014973464562576184
95,2.2734454870224,0.07388240171763825,0.7907389283180237,0.014817660619516745
96,2.26134078502655,0.07385775950742997,0.7920908570289612,0.014549443770445572
97,2.249297833442688,0.07425528453198343,0.7933354556560517,0.014364596666855875
98,2.2375101804733277,0.07437415020551194,0.7945707023143769,0.01416868303535206
99,2.2259410858154296,0.0742740663955467,0.7957499980926513,0.014135953338169395
100,0.9957624793052673,0.07270722716744778,0.94928457736969,0.00499995294268463
101,0.995931762456894,0.07272098829583729,0.9492891013622284,0.00489610132555137
102,0.9962286293506623,0.0727389017809684,0.9491856396198273,0.004949534101552051
103,0.996503722667694,0.07277041168975419,0.9490249633789063,0.004802231837611243
104,0.9966848134994507,0.07310504922905554,0.948963177204132,0.0048583030798445715
105,0.9968612551689148,0.07310727667814687,0.9488636434078217,0.0048517673671352925
106,0.9969106316566467,0.07302910899030048,0.948784452676773,0.004904816737396013
107,0.9970702111721039,0.07310355192491161,0.9486967325210571,0.004951005377927449
108,0.9970438659191132,0.07276309170284781,0.9486289620399475,0.004833061826126995
109,0.9970388948917389,0.07265287459903134,0.9485150337219238,0.004740173544958332
110,0.9971382319927216,0.07279279779702363,0.9484024584293366,0.004748372831842329
111,0.9970669746398926,0.07260626858325682,0.9483562409877777,0.004721046798062181
112,0.9972065389156342,0.07249994773042126,0.9482459485530853,0.004669234431109272
113,0.9972279012203217,0.07257809121829902,0.9481277525424957,0.004657814589332672
114,0.9971915066242218,0.07246376011889476,0.947937959432602,0.004602264413566225
115,0.9969496548175811,0.07247476343138876,0.9478501498699188,0.004580579753200361
116,0.9966936469078064,0.07209469900231998,0.9477723658084869,0.004460693192419597
117,0.996540105342865,0.07232766923872783,0.9477223813533783,0.004508144383944041
118,0.9963220715522766,0.07247148805955603,0.9476194739341736,0.004510954897680317
119,0.9960060179233551,0.07250747681333228,0.9475797891616822,0.004497561248002501
120,0.9956979393959046,0.0723229492448075,0.9475053012371063,0.004495525040354882
121,0.9952630877494812,0.07236575306325414,0.9474579274654389,0.004524776950994174
122,0.9948722362518311,0.07217672074206549,0.9474895417690277,0.004463940902607123
123,0.9944027781486511,0.07218347118136441,0.9474687993526458,0.004452653656514301
124,0.9939854204654693,0.07201151232086525,0.9474224150180817,0.004423881431518562
125,0.9934062898159027,0.07196377693341796,0.9473851203918457,0.004348001620591084
126,0.9929399371147156,0.07200683084550101,0.9472800195217133,0.004315100303614068
127,0.9926721930503846,0.07210821548837254,0.947252380847931,0.0042216537711886985
128,0.9923120141029358,0.07189114447375868,0.9472166001796722,0.004167651412338702
129,0.991866797208786,0.07142480274172151,0.9471812009811401,0.004184589987257133
130,0.9913117229938507,0.07128248434941568,0.9471461951732636,0.004212304895315189
131,0.9906542837619782,0.07141042984996936,0.9471447467803955,0.004244671896476051
132,0.9901111721992493,0.0712480208697214,0.9470855355262756,0.004178361479738627
133,0.9893465578556061,0.07106741719794814,0.9471665561199188,0.00419295013214748
134,0.9889735400676727,0.07072945693513717,0.9471160113811493,0.004153578161723044
135,0.9883421897888184,0.07074873767909745,0.9471147537231446,0.004164335555317293
136,0.987603509426117,0.0708689145891485,0.9471135199069977,0.004202052130791502
137,0.9869311094284058,0.0707389316288831,0.9469996809959411,0.004170785650076828
138,0.9861715376377106,0.0704936371932506,0.9470070421695709,0.004125062595362487
139,0.9853834450244904,0.07027132413732351,0.9470063626766205,0.004120732887911657
140,0.9845949947834015,0.07009655732437475,0.9470215439796448,0.004151138741348277
141,0.9840686202049256,0.07019322450227246,0.9469104528427124,0.0041825700652314834
142,0.9833315074443817,0.07014761185400867,0.9469024479389191,0.004085393263852588
143,0.9826200366020202,0.07004700147642905,0.9469101130962372,0.0040394115066701
144,0.9819220900535583,0.06995304880986428,0.9468555867671966,0.004032495758706436
145,0.9812002360820771,0.06980392929882179,0.9468556821346283,0.0040170490042068805
146,0.9804559648036957,0.06978088442788995,0.9468173503875732,0.0041004865210991955
147,0.9797287225723267,0.06950366421811542,0.9467717170715332,0.004102028295363542
148,0.9787501990795135,0.06941514761939088,0.9468179047107697,0.004214197615683356
149,0.9780468463897705,0.06941135107376745,0.9467802941799164,0.0042893958251004945
150,0.9771592438220977,0.06937369764496512,0.9467807590961457,0.00427168662682262
151,0.9764252066612243,0.06924069884911754,0.9467962205410003,0.004335383988869403
152,0.975579422712326,0.06898123991709772,0.9467966079711914,0.0042696101004750815
153,0.9746189057826996,0.06886298946499074,0.946811830997467,0.004177163420543544
154,0.9737487256526947,0.06860779718623132,0.9467603504657746,0.0041498921937292675
155,0.9730033218860626,0.06841879051895079,0.946775621175766,0.004110498471690182
156,0.9721851348876953,0.06831749463654578,0.946724796295166,0.004241622399700798
157,0.9714108884334565,0.06819032786281477,0.9466963231563568,0.004293305567171231
